"Label (Grouping)","Washington!!Total!!Estimate","Washington!!Male!!Estimate","Washington!!Female!!Estimate","Adams County, Washington!!Total!!Estimate","Adams County, Washington!!Male!!Estimate","Adams County, Washington!!Female!!Estimate","Asotin County, Washington!!Total!!Estimate","Asotin County, Washington!!Male!!Estimate","Asotin County, Washington!!Female!!Estimate","Benton County, Washington!!Total!!Estimate","Benton County, Washington!!Male!!Estimate","Benton County, Washington!!Female!!Estimate","Chelan County, Washington!!Total!!Estimate","Chelan County, Washington!!Male!!Estimate","Chelan County, Washington!!Female!!Estimate","Clallam County, Washington!!Total!!Estimate","Clallam County, Washington!!Male!!Estimate","Clallam County, Washington!!Female!!Estimate","Clark County, Washington!!Total!!Estimate","Clark County, Washington!!Male!!Estimate","Clark County, Washington!!Female!!Estimate","Columbia County, Washington!!Total!!Estimate","Columbia County, Washington!!Male!!Estimate","Columbia County, Washington!!Female!!Estimate","Cowlitz County, Washington!!Total!!Estimate","Cowlitz County, Washington!!Male!!Estimate","Cowlitz County, Washington!!Female!!Estimate","Douglas County, Washington!!Total!!Estimate","Douglas County, Washington!!Male!!Estimate","Douglas County, Washington!!Female!!Estimate","Ferry County, Washington!!Total!!Estimate","Ferry County, Washington!!Male!!Estimate","Ferry County, Washington!!Female!!Estimate","Franklin County, Washington!!Total!!Estimate","Franklin County, Washington!!Male!!Estimate","Franklin County, Washington!!Female!!Estimate","Garfield County, Washington!!Total!!Estimate","Garfield County, Washington!!Male!!Estimate","Garfield County, Washington!!Female!!Estimate","Grant County, Washington!!Total!!Estimate","Grant County, Washington!!Male!!Estimate","Grant County, Washington!!Female!!Estimate","Grays Harbor County, Washington!!Total!!Estimate","Grays Harbor County, Washington!!Male!!Estimate","Grays Harbor County, Washington!!Female!!Estimate","Island County, Washington!!Total!!Estimate","Island County, Washington!!Male!!Estimate","Island County, Washington!!Female!!Estimate","Jefferson County, Washington!!Total!!Estimate","Jefferson County, Washington!!Male!!Estimate","Jefferson County, Washington!!Female!!Estimate","King County, Washington!!Total!!Estimate","King County, Washington!!Male!!Estimate","King County, Washington!!Female!!Estimate","Kitsap County, Washington!!Total!!Estimate","Kitsap County, Washington!!Male!!Estimate","Kitsap County, Washington!!Female!!Estimate","Kittitas County, Washington!!Total!!Estimate","Kittitas County, Washington!!Male!!Estimate","Kittitas County, Washington!!Female!!Estimate","Klickitat County, Washington!!Total!!Estimate","Klickitat County, Washington!!Male!!Estimate","Klickitat County, Washington!!Female!!Estimate","Lewis County, Washington!!Total!!Estimate","Lewis County, Washington!!Male!!Estimate","Lewis County, Washington!!Female!!Estimate","Lincoln County, Washington!!Total!!Estimate","Lincoln County, Washington!!Male!!Estimate","Lincoln County, Washington!!Female!!Estimate","Mason County, Washington!!Total!!Estimate","Mason County, Washington!!Male!!Estimate","Mason County, Washington!!Female!!Estimate","Okanogan County, Washington!!Total!!Estimate","Okanogan County, Washington!!Male!!Estimate","Okanogan County, Washington!!Female!!Estimate","Pacific County, Washington!!Total!!Estimate","Pacific County, Washington!!Male!!Estimate","Pacific County, Washington!!Female!!Estimate","Pend Oreille County, Washington!!Total!!Estimate","Pend Oreille County, Washington!!Male!!Estimate","Pend Oreille County, Washington!!Female!!Estimate","Pierce County, Washington!!Total!!Estimate","Pierce County, Washington!!Male!!Estimate","Pierce County, Washington!!Female!!Estimate","San Juan County, Washington!!Total!!Estimate","San Juan County, Washington!!Male!!Estimate","San Juan County, Washington!!Female!!Estimate","Skagit County, Washington!!Total!!Estimate","Skagit County, Washington!!Male!!Estimate","Skagit County, Washington!!Female!!Estimate","Skamania County, Washington!!Total!!Estimate","Skamania County, Washington!!Male!!Estimate","Skamania County, Washington!!Female!!Estimate","Snohomish County, Washington!!Total!!Estimate","Snohomish County, Washington!!Male!!Estimate","Snohomish County, Washington!!Female!!Estimate","Spokane County, Washington!!Total!!Estimate","Spokane County, Washington!!Male!!Estimate","Spokane County, Washington!!Female!!Estimate","Stevens County, Washington!!Total!!Estimate","Stevens County, Washington!!Male!!Estimate","Stevens County, Washington!!Female!!Estimate","Thurston County, Washington!!Total!!Estimate","Thurston County, Washington!!Male!!Estimate","Thurston County, Washington!!Female!!Estimate","Wahkiakum County, Washington!!Total!!Estimate","Wahkiakum County, Washington!!Male!!Estimate","Wahkiakum County, Washington!!Female!!Estimate","Walla Walla County, Washington!!Total!!Estimate","Walla Walla County, Washington!!Male!!Estimate","Walla Walla County, Washington!!Female!!Estimate","Whatcom County, Washington!!Total!!Estimate","Whatcom County, Washington!!Male!!Estimate","Whatcom County, Washington!!Female!!Estimate","Whitman County, Washington!!Total!!Estimate","Whitman County, Washington!!Male!!Estimate","Whitman County, Washington!!Female!!Estimate","Yakima County, Washington!!Total!!Estimate","Yakima County, Washington!!Male!!Estimate","Yakima County, Washington!!Female!!Estimate"
"Total population","6,899,123","3,443,508","3,455,615","18,951","9,641","9,310","21,955","10,524","11,431","182,053","91,336","90,717","73,664","36,766","36,898","72,024","35,743","36,281","438,272","216,638","221,634","4,031","2,023","2,008","102,072","50,519","51,553","39,183","19,689","19,494","7,657","4,001","3,656","84,508","44,037","40,471","2,240","1,106","1,134","91,458","46,412","45,046","71,734","36,900","34,834","78,951","39,292","39,659","29,978","14,892","15,086","2,008,997","1,002,198","1,006,799","253,614","128,985","124,629","41,705","20,947","20,758","20,668","10,271","10,397","75,382","37,741","37,641","10,409","5,239","5,170","60,728","31,294","29,434","41,241","20,781","20,460","20,665","10,376","10,289","12,965","6,653","6,312","812,689","402,977","409,712","15,847","7,627","8,220","118,364","58,664","59,700","11,194","5,691","5,503","735,351","368,756","366,595","476,950","236,240","240,710","43,541","21,878","21,663","259,330","126,989","132,341","4,016","1,956","2,060","59,476","30,408","29,068","204,855","101,494","103,361","46,003","23,452","22,551","246,402","123,372","123,030"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.4%","6.6%","6.3%","10.9%","11.1%","10.7%","5.7%","5.9%","5.5%","7.4%","7.5%","7.2%","6.9%","7.1%","6.6%","4.7%","4.7%","4.7%","6.6%","6.8%","6.4%","4.9%","7.2%","2.6%","6.1%","6.3%","6.0%","7.1%","7.4%","6.9%","4.8%","4.5%","5.1%","10.3%","10.2%","10.5%","4.6%","5.0%","4.1%","8.8%","8.7%","8.8%","5.7%","5.8%","5.6%","5.7%","6.0%","5.4%","3.7%","4.5%","2.9%","6.2%","6.3%","6.1%","5.8%","5.8%","5.8%","5.0%","5.2%","4.8%","5.4%","5.4%","5.4%","5.9%","6.1%","5.7%","4.8%","5.0%","4.6%","5.4%","5.6%","5.2%","6.7%","7.1%","6.3%","4.7%","4.9%","4.6%","4.6%","4.7%","4.5%","6.9%","7.2%","6.7%","3.1%","2.9%","3.2%","6.3%","6.4%","6.3%","5.1%","5.0%","5.3%","6.4%","6.6%","6.3%","6.3%","6.5%","6.0%","5.1%","5.3%","4.9%","6.1%","6.5%","5.6%","3.4%","2.5%","4.4%","6.1%","6.2%","5.9%","5.6%","5.7%","5.4%","4.4%","4.2%","4.6%","8.7%","8.9%","8.4%"
"    5 to 9 years","6.3%","6.5%","6.1%","10.0%","10.3%","9.7%","5.8%","6.5%","5.3%","7.1%","6.8%","7.5%","5.9%","6.1%","5.8%","4.6%","4.8%","4.3%","7.3%","8.0%","6.7%","4.1%","3.2%","5.0%","6.6%","7.1%","6.1%","7.4%","6.9%","7.8%","4.4%","4.1%","4.7%","9.9%","9.8%","10.1%","6.4%","4.2%","8.6%","8.7%","8.5%","8.9%","5.4%","5.2%","5.6%","5.2%","5.5%","4.8%","4.1%","4.7%","3.6%","5.9%","6.1%","5.7%","5.7%","5.8%","5.6%","5.2%","5.5%","4.9%","6.6%","5.8%","7.4%","5.9%","5.7%","6.2%","6.3%","5.7%","6.9%","5.7%","5.4%","6.0%","6.5%","5.9%","7.1%","5.0%","5.2%","4.9%","5.4%","6.4%","4.4%","6.5%","6.9%","6.2%","4.4%","4.4%","4.3%","6.1%","6.2%","6.0%","6.9%","8.1%","5.6%","6.6%","6.7%","6.5%","6.3%","6.6%","5.9%","6.0%","6.3%","5.6%","5.8%","6.1%","5.5%","2.8%","2.9%","2.7%","6.3%","6.4%","6.1%","5.6%","5.5%","5.6%","4.0%","4.1%","3.8%","8.6%","8.8%","8.4%"
"    10 to 14 years","6.4%","6.5%","6.3%","8.9%","8.7%","9.1%","5.9%","5.3%","6.5%","7.9%","8.7%","7.2%","7.6%","7.8%","7.3%","5.2%","5.5%","5.0%","7.4%","7.3%","7.5%","6.8%","7.3%","6.3%","6.6%","6.1%","7.1%","7.6%","8.4%","6.9%","5.5%","6.3%","4.7%","8.7%","8.6%","8.8%","6.3%","7.6%","4.9%","8.1%","8.5%","7.8%","6.2%","6.1%","6.4%","5.6%","5.6%","5.6%","3.9%","3.7%","4.1%","5.6%","5.8%","5.5%","6.2%","6.2%","6.2%","5.0%","4.9%","5.2%","6.1%","6.7%","5.5%","6.4%","6.9%","5.9%","6.9%","7.2%","6.5%","5.1%","5.4%","4.9%","6.4%","7.1%","5.8%","4.5%","4.8%","4.3%","7.2%","7.2%","7.2%","6.9%","6.9%","6.8%","4.4%","4.8%","4.0%","6.6%","6.7%","6.4%","5.1%","4.4%","6.0%","6.6%","6.7%","6.4%","6.4%","6.5%","6.3%","7.2%","7.4%","7.0%","6.6%","7.1%","6.2%","5.9%","5.8%","6.0%","6.1%","6.1%","6.0%","5.8%","6.3%","5.3%","4.2%","4.1%","4.4%","8.1%","8.2%","7.9%"
"    15 to 19 years","6.5%","6.7%","6.3%","8.1%","8.3%","7.9%","5.9%","6.2%","5.7%","7.0%","7.3%","6.7%","6.9%","6.9%","6.8%","5.3%","5.6%","5.0%","6.8%","7.1%","6.6%","6.8%","7.1%","6.4%","6.4%","6.7%","6.1%","7.2%","7.2%","7.2%","7.8%","8.1%","7.5%","7.7%","7.6%","7.8%","7.1%","8.5%","5.8%","7.7%","7.8%","7.7%","6.0%","6.0%","6.0%","5.5%","6.2%","4.9%","3.8%","4.2%","3.4%","5.8%","5.9%","5.6%","6.5%","6.8%","6.2%","8.6%","8.5%","8.7%","5.4%","5.7%","5.2%","6.8%","7.2%","6.4%","6.3%","6.5%","6.1%","5.5%","5.5%","5.5%","6.0%","6.4%","5.6%","5.0%","5.7%","4.3%","5.9%","6.0%","5.7%","6.6%","6.8%","6.4%","4.6%","4.5%","4.7%","6.5%","6.8%","6.3%","6.7%","7.1%","6.3%","6.4%","6.7%","6.2%","6.8%","6.9%","6.6%","7.1%","7.4%","6.8%","6.3%","6.6%","6.0%","7.4%","6.5%","8.3%","8.0%","7.7%","8.3%","7.3%","7.3%","7.3%","17.9%","16.4%","19.5%","7.8%","8.1%","7.4%"
"    20 to 24 years","7.0%","7.3%","6.7%","7.1%","7.6%","6.6%","6.0%","6.1%","6.0%","6.6%","6.8%","6.3%","6.2%","6.7%","5.7%","5.3%","6.1%","4.6%","6.0%","6.2%","5.8%","3.5%","4.6%","2.3%","5.9%","5.9%","5.9%","5.8%","6.1%","5.5%","4.7%","5.6%","3.7%","7.0%","7.2%","6.8%","2.3%","0.8%","3.7%","7.0%","7.2%","6.9%","5.9%","6.4%","5.4%","6.8%","7.2%","6.5%","4.1%","4.6%","3.6%","6.6%","6.7%","6.5%","7.9%","9.3%","6.5%","16.8%","17.0%","16.5%","4.5%","4.3%","4.7%","5.8%","6.2%","5.4%","4.1%","4.4%","3.7%","5.7%","6.4%","4.9%","5.2%","5.2%","5.3%","4.8%","5.0%","4.7%","2.4%","1.3%","3.6%","7.4%","7.9%","7.0%","3.3%","3.3%","3.2%","5.9%","6.1%","5.7%","4.9%","5.0%","4.8%","6.4%","6.7%","6.1%","8.0%","8.2%","7.9%","4.2%","4.3%","4.1%","6.8%","7.0%","6.6%","4.4%","4.9%","3.9%","9.1%","9.5%","8.7%","11.1%","11.2%","10.9%","21.8%","24.2%","19.3%","7.1%","7.4%","6.8%"
"    25 to 29 years","7.2%","7.4%","7.0%","6.4%","6.5%","6.3%","5.5%","5.3%","5.7%","6.6%","6.7%","6.6%","6.1%","6.1%","6.0%","5.2%","5.7%","4.7%","6.2%","6.2%","6.1%","3.6%","2.6%","4.7%","5.6%","5.8%","5.4%","5.9%","6.2%","5.6%","4.9%","5.1%","4.7%","8.1%","8.1%","8.0%","3.8%","3.6%","4.1%","6.6%","6.9%","6.2%","6.0%","6.6%","5.5%","6.8%","7.7%","5.9%","4.1%","4.9%","3.4%","8.4%","8.5%","8.2%","7.0%","7.6%","6.3%","6.9%","7.3%","6.5%","4.8%","4.6%","5.1%","5.6%","5.6%","5.6%","3.9%","3.8%","4.0%","5.5%","5.9%","5.1%","5.1%","5.2%","4.9%","4.0%","4.0%","4.0%","5.4%","6.4%","4.4%","7.5%","7.7%","7.3%","3.8%","3.9%","3.8%","6.1%","6.4%","5.7%","4.3%","4.4%","4.2%","7.0%","7.2%","6.7%","7.3%","7.6%","7.1%","4.0%","4.0%","3.9%","6.9%","7.2%","6.7%","3.8%","6.8%","1.0%","6.2%","7.0%","5.4%","6.5%","6.9%","6.2%","7.6%","8.0%","7.2%","6.6%","6.6%","6.6%"
"    30 to 34 years","7.0%","7.1%","6.9%","6.4%","6.2%","6.7%","5.3%","5.5%","5.1%","6.6%","6.7%","6.5%","5.9%","6.1%","5.8%","5.1%","5.5%","4.8%","6.6%","6.6%","6.7%","4.5%","4.7%","4.3%","5.7%","6.0%","5.4%","6.2%","6.2%","6.2%","4.4%","4.3%","4.5%","8.2%","8.5%","7.9%","2.1%","1.5%","2.6%","6.4%","6.6%","6.3%","5.9%","6.3%","5.5%","5.5%","5.6%","5.4%","4.2%","4.2%","4.2%","8.2%","8.5%","8.0%","6.1%","6.3%","5.9%","4.9%","4.8%","5.1%","6.2%","6.7%","5.8%","5.6%","5.6%","5.5%","4.4%","4.8%","4.0%","5.6%","5.8%","5.4%","5.5%","5.5%","5.4%","4.6%","5.1%","4.2%","4.2%","3.6%","4.8%","7.0%","7.1%","7.0%","4.3%","4.5%","4.2%","6.1%","6.4%","5.9%","5.2%","5.1%","5.2%","7.1%","7.3%","7.0%","6.5%","6.7%","6.3%","4.8%","4.7%","4.9%","6.9%","7.0%","6.9%","5.0%","5.6%","4.4%","6.2%","6.8%","5.5%","6.3%","6.5%","6.1%","5.2%","5.5%","4.9%","6.5%","6.5%","6.4%"
"    35 to 39 years","6.5%","6.6%","6.5%","5.5%","6.0%","5.0%","4.8%","5.0%","4.6%","6.3%","5.9%","6.8%","5.0%","5.5%","4.4%","4.1%","4.1%","4.2%","6.7%","6.7%","6.8%","4.8%","5.0%","4.6%","6.1%","6.0%","6.1%","6.1%","6.3%","6.0%","5.5%","6.4%","4.4%","7.4%","7.6%","7.1%","5.4%","4.9%","6.0%","6.1%","5.7%","6.4%","6.2%","6.8%","5.5%","4.9%","4.9%","4.9%","3.6%","4.2%","2.9%","7.6%","7.7%","7.4%","5.6%","5.7%","5.6%","4.3%","4.4%","4.2%","6.1%","5.9%","6.3%","5.3%","4.8%","5.7%","5.1%","6.1%","4.1%","5.3%","5.6%","5.0%","6.0%","5.8%","6.2%","4.1%","4.0%","4.2%","3.6%","4.0%","3.2%","6.4%","6.4%","6.3%","4.0%","5.1%","3.0%","5.7%","5.5%","5.8%","5.0%","5.2%","4.8%","6.8%","6.9%","6.7%","5.8%","6.1%","5.5%","4.3%","4.1%","4.5%","6.7%","6.7%","6.7%","3.7%","1.8%","5.6%","5.6%","5.9%","5.3%","5.9%","5.9%","5.8%","4.2%","4.5%","3.9%","6.0%","5.8%","6.2%"
