county_name,year,traffic_count
Adams,2012,4
Asotin,2012,1
Benton,2012,12
Chelan,2012,14
Clallam,2012,2
Clark,2012,19
Columbia,2012,0
Cowlitz,2012,6
Douglas,2012,3
Ferry,2012,0
Franklin,2012,1
Garfield,2012,2
Grant,2012,14
Grays Harbor,2012,7
Island,2012,6
Jefferson,2012,1
King,2012,90
Kitsap,2012,20
Kittitas,2012,9
Klickitat,2012,6
Lewis,2012,9
Lincoln,2012,4
Mason,2012,5
Okanogan,2012,12
Pacific,2012,3
Pend Oreille,2012,5
Pierce,2012,42
San Juan,2012,0
Skagit,2012,7
Skamania,2012,3
Snohomish,2012,35
Spokane,2012,27
Stevens,2012,4
Thurston,2012,15
Wahkiakum,2012,0
Walla Walla,2012,4
Whatcom,2012,12
Whitman,2012,3
Yakima,2012,31
Adams,2013,5
Asotin,2013,0
Benton,2013,9
Chelan,2013,7
Clallam,2013,6
Clark,2013,20
Columbia,2013,0
Cowlitz,2013,14
Douglas,2013,2
Ferry,2013,4
Franklin,2013,6
Garfield,2013,0
Grant,2013,24
Grays Harbor,2013,7
Island,2013,6
Jefferson,2013,3
King,2013,80
Kitsap,2013,8
Kittitas,2013,3
Klickitat,2013,8
Lewis,2013,5
Lincoln,2013,1
Mason,2013,12
Okanogan,2013,7
Pacific,2013,3
Pend Oreille,2013,5
Pierce,2013,42
San Juan,2013,0
Skagit,2013,10
Skamania,2013,0
Snohomish,2013,32
Spokane,2013,36
Stevens,2013,7
Thurston,2013,14
Wahkiakum,2013,0
Walla Walla,2013,4
Whatcom,2013,18
Whitman,2013,4
Yakima,2013,24
Adams,2014,8
Asotin,2014,0
Benton,2014,10
Chelan,2014,8
Clallam,2014,4
Clark,2014,35
Columbia,2014,0
Cowlitz,2014,9
Douglas,2014,7
Ferry,2014,1
Franklin,2014,6
Garfield,2014,2
Grant,2014,13
Grays Harbor,2014,4
Island,2014,1
Jefferson,2014,3
King,2014,83
Kitsap,2014,16
Kittitas,2014,3
Klickitat,2014,4
Lewis,2014,6
Lincoln,2014,2
Mason,2014,8
Okanogan,2014,9
Pacific,2014,0
Pend Oreille,2014,4
Pierce,2014,48
San Juan,2014,1
Skagit,2014,11
Skamania,2014,4
Snohomish,2014,33
Spokane,2014,29
Stevens,2014,10
Thurston,2014,15
Wahkiakum,2014,0
Walla Walla,2014,11
Whatcom,2014,15
Whitman,2014,4
Yakima,2014,35
Adams,2015,11
Asotin,2015,1
Benton,2015,11
Chelan,2015,6
Clallam,2015,6
Clark,2015,24
Columbia,2015,1
Cowlitz,2015,7
Douglas,2015,3
Ferry,2015,2
Franklin,2015,5
Garfield,2015,0
Grant,2015,17
Grays Harbor,2015,5
Island,2015,9
Jefferson,2015,8
King,2015,109
Kitsap,2015,18
Kittitas,2015,8
Klickitat,2015,1
Lewis,2015,14
Lincoln,2015,6
Mason,2015,8
Okanogan,2015,6
Pacific,2015,1
Pend Oreille,2015,3
Pierce,2015,66
San Juan,2015,1
Skagit,2015,14
Skamania,2015,8
Snohomish,2015,53
Spokane,2015,36
Stevens,2015,9
Thurston,2015,14
Wahkiakum,2015,1
Walla Walla,2015,7
Whatcom,2015,11
Whitman,2015,6
Yakima,2015,35
Adams,2016,5
Asotin,2016,2
Benton,2016,22
Chelan,2016,6
Clallam,2016,7
Clark,2016,20
Columbia,2016,0
Cowlitz,2016,5
Douglas,2016,6
Ferry,2016,4
Franklin,2016,8
Garfield,2016,0
Grant,2016,19
Grays Harbor,2016,7
Island,2016,5
Jefferson,2016,2
King,2016,100
Kitsap,2016,21
Kittitas,2016,19
Klickitat,2016,2
Lewis,2016,13
Lincoln,2016,5
Mason,2016,7
Okanogan,2016,10
Pacific,2016,5
Pend Oreille,2016,3
Pierce,2016,73
San Juan,2016,1
Skagit,2016,8
Skamania,2016,3
Snohomish,2016,44
Spokane,2016,26
Stevens,2016,8
Thurston,2016,17
Wahkiakum,2016,1
Walla Walla,2016,5
Whatcom,2016,12
Whitman,2016,5
Yakima,2016,30
Adams,2017,10
Asotin,2017,1
Benton,2017,15
Chelan,2017,2
Clallam,2017,12
Clark,2017,28
Columbia,2017,0
Cowlitz,2017,12
Douglas,2017,1
Ferry,2017,2
Franklin,2017,10
Garfield,2017,2
Grant,2017,16
Grays Harbor,2017,10
Island,2017,5
Jefferson,2017,2
King,2017,111
Kitsap,2017,17
Kittitas,2017,12
Klickitat,2017,3
Lewis,2017,14
Lincoln,2017,3
Mason,2017,6
Okanogan,2017,11
Pacific,2017,0
Pend Oreille,2017,2
Pierce,2017,56
San Juan,2017,0
Skagit,2017,11
Skamania,2017,2
Snohomish,2017,42
Spokane,2017,41
Stevens,2017,4
Thurston,2017,19
Wahkiakum,2017,0
Walla Walla,2017,2
Whatcom,2017,24
Whitman,2017,8
Yakima,2017,47
Adams,2018,7
Asotin,2018,2
Benton,2018,15
Chelan,2018,10
Clallam,2018,3
Clark,2018,33
Columbia,2018,2
Cowlitz,2018,11
Douglas,2018,1
Ferry,2018,2
Franklin,2018,7
Garfield,2018,0
Grant,2018,22
Grays Harbor,2018,5
Island,2018,2
Jefferson,2018,8
King,2018,115
Kitsap,2018,18
Kittitas,2018,9
Klickitat,2018,2
Lewis,2018,5
Lincoln,2018,4
Mason,2018,4
Okanogan,2018,10
Pacific,2018,0
Pend Oreille,2018,4
Pierce,2018,57
San Juan,2018,1
Skagit,2018,20
Skamania,2018,4
Snohomish,2018,42
Spokane,2018,35
Stevens,2018,8
Thurston,2018,26
Wahkiakum,2018,2
Walla Walla,2018,5
Whatcom,2018,13
Whitman,2018,3
Yakima,2018,22
Adams,2019,7
Asotin,2019,0
Benton,2019,11
Chelan,2019,5
Clallam,2019,2
Clark,2019,27
Columbia,2019,1
Cowlitz,2019,17
Douglas,2019,2
Ferry,2019,2
Franklin,2019,8
Garfield,2019,2
Grant,2019,11
Grays Harbor,2019,11
Island,2019,8
Jefferson,2019,7
King,2019,107
Kitsap,2019,12
Kittitas,2019,8
Klickitat,2019,8
Lewis,2019,14
Lincoln,2019,3
Mason,2019,10
Okanogan,2019,10
Pacific,2019,6
Pend Oreille,2019,2
Pierce,2019,66
San Juan,2019,1
Skagit,2019,16
Skamania,2019,1
Snohomish,2019,40
Spokane,2019,29
Stevens,2019,4
Thurston,2019,22
Wahkiakum,2019,0
Walla Walla,2019,4
Whatcom,2019,15
Whitman,2019,4
Yakima,2019,35
Adams,2020,5
Asotin,2020,0
Benton,2020,13
Chelan,2020,8
Clallam,2020,11
Clark,2020,40
Columbia,2020,0
Cowlitz,2020,7
Douglas,2020,6
Ferry,2020,2
Franklin,2020,5
Garfield,2020,0
Grant,2020,19
Grays Harbor,2020,6
Island,2020,7
Jefferson,2020,3
King,2020,110
Kitsap,2020,11
Kittitas,2020,8
Klickitat,2020,5
Lewis,2020,12
Lincoln,2020,0
Mason,2020,15
Okanogan,2020,5
Pacific,2020,1
Pend Oreille,2020,2
Pierce,2020,73
San Juan,2020,0
Skagit,2020,18
Skamania,2020,6
Snohomish,2020,48
Spokane,2020,52
Stevens,2020,4
Thurston,2020,19
Wahkiakum,2020,0
Walla Walla,2020,1
Whatcom,2020,8
Whitman,2020,2
Yakima,2020,42
Adams,2021,6
Asotin,2021,0
Benton,2021,20
Chelan,2021,7
Clallam,2021,10
Clark,2021,36
Columbia,2021,0
Cowlitz,2021,15
Douglas,2021,4
Ferry,2021,4
Franklin,2021,9
Garfield,2021,2
Grant,2021,22
Grays Harbor,2021,14
Island,2021,6
Jefferson,2021,4
King,2021,137
Kitsap,2021,17
Kittitas,2021,3
Klickitat,2021,0
Lewis,2021,8
Lincoln,2021,3
Mason,2021,10
Okanogan,2021,6
Pacific,2021,1
Pend Oreille,2021,3
Pierce,2021,98
San Juan,2021,3
Skagit,2021,13
Skamania,2021,3
Snohomish,2021,38
Spokane,2021,57
Stevens,2021,6
Thurston,2021,24
Wahkiakum,2021,0
Walla Walla,2021,4
Whatcom,2021,19
Whitman,2021,4
Yakima,2021,58
Adams,2022,8
Asotin,2022,3
Benton,2022,23
Chelan,2022,11
Clallam,2022,6
Clark,2022,37
Columbia,2022,0
Cowlitz,2022,12
Douglas,2022,9
Ferry,2022,2
Franklin,2022,5
Garfield,2022,1
Grant,2022,33
Grays Harbor,2022,14
Island,2022,5
